id,text,entities,meta
1,"Asta countered the Spade Kingdom's commandor's poison attack with the demon destroyer sword, then cut the attacking citadel in half, defeating the captain in a single blow.","[{""start"": 0, ""end"": 4, ""label"": ""PERSON""}, {""start"": 19, ""end"": 32, ""label"": ""ORGANIZATION""}, {""start"": 35, ""end"": 44, ""label"": ""JOB""}, {""start"": 70, ""end"": 91, ""label"": ""PRODUCT""}, {""start"": 127, ""end"": 131, ""label"": ""AMOUNT""}, {""start"": 147, ""end"": 154, ""label"": ""JOB""}, {""start"": 160, ""end"": 166, ""label"": ""AMOUNT""}]","{""source"": ""balanced"", ""language"": ""en""}"
2,Doctor Ahmed Hassan designed Photoshop.,"[{""start"": 0, ""end"": 6, ""label"": ""JOB""}, {""start"": 7, ""end"": 19, ""label"": ""PERSON""}, {""start"": 29, ""end"": 38, ""label"": ""PRODUCT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
3,Statistician Nikolai Volkov designed AutoCAD.,"[{""start"": 0, ""end"": 12, ""label"": ""JOB""}, {""start"": 13, ""end"": 27, ""label"": ""PERSON""}, {""start"": 37, ""end"": 44, ""label"": ""PRODUCT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
4,Welder Elena Petrova joined Deloitte.,"[{""start"": 0, ""end"": 6, ""label"": ""JOB""}, {""start"": 7, ""end"": 20, ""label"": ""PERSON""}, {""start"": 28, ""end"": 36, ""label"": ""ORGANIZATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
5,President Sophie Laurent joined Pfizer.,"[{""start"": 0, ""end"": 9, ""label"": ""JOB""}, {""start"": 10, ""end"": 24, ""label"": ""PERSON""}, {""start"": 32, ""end"": 38, ""label"": ""ORGANIZATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
6,"Kenji Tanaka, a CEO at OpenAI, spoke last year.","[{""start"": 0, ""end"": 12, ""label"": ""PERSON""}, {""start"": 16, ""end"": 19, ""label"": ""JOB""}, {""start"": 23, ""end"": 29, ""label"": ""ORGANIZATION""}, {""start"": 37, ""end"": 46, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
7,"Maria Garcia, a Operations Manager at NASA, spoke this month.","[{""start"": 0, ""end"": 12, ""label"": ""PERSON""}, {""start"": 16, ""end"": 34, ""label"": ""JOB""}, {""start"": 38, ""end"": 42, ""label"": ""ORGANIZATION""}, {""start"": 50, ""end"": 60, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
8,"John Doe, a Chef at IBM, spoke two years ago.","[{""start"": 0, ""end"": 8, ""label"": ""PERSON""}, {""start"": 12, ""end"": 16, ""label"": ""JOB""}, {""start"": 20, ""end"": 23, ""label"": ""ORGANIZATION""}, {""start"": 31, ""end"": 44, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
9,"Emma Brown, a Product Manager at Pfizer, spoke last year.","[{""start"": 0, ""end"": 10, ""label"": ""PERSON""}, {""start"": 14, ""end"": 29, ""label"": ""JOB""}, {""start"": 33, ""end"": 39, ""label"": ""ORGANIZATION""}, {""start"": 47, ""end"": 56, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
10,"Aylin Mammadova, a Civil Engineer at Google, spoke this month.","[{""start"": 0, ""end"": 15, ""label"": ""PERSON""}, {""start"": 19, ""end"": 33, ""label"": ""JOB""}, {""start"": 37, ""end"": 43, ""label"": ""ORGANIZATION""}, {""start"": 51, ""end"": 61, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
11,Civil Engineer Robert Williams joined IBM.,"[{""start"": 0, ""end"": 14, ""label"": ""JOB""}, {""start"": 15, ""end"": 30, ""label"": ""PERSON""}, {""start"": 38, ""end"": 41, ""label"": ""ORGANIZATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
12,"Sarah Johnson, a Marketing Manager at MIT, spoke last year.","[{""start"": 0, ""end"": 13, ""label"": ""PERSON""}, {""start"": 17, ""end"": 34, ""label"": ""JOB""}, {""start"": 38, ""end"": 41, ""label"": ""ORGANIZATION""}, {""start"": 49, ""end"": 58, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
13,"Sophie Laurent, a Ambassador at the World Bank, spoke last Friday.","[{""start"": 0, ""end"": 14, ""label"": ""PERSON""}, {""start"": 18, ""end"": 28, ""label"": ""JOB""}, {""start"": 32, ""end"": 46, ""label"": ""ORGANIZATION""}, {""start"": 54, ""end"": 65, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
14,"Hermina Wisoky , our latest entrepreneur of the month , has been making waves in the Research sector in Volkmanhaven .","[{""start"": 0, ""end"": 14, ""label"": ""PERSON""}, {""start"": 28, ""end"": 40, ""label"": ""JOB""}, {""start"": 48, ""end"": 53, ""label"": ""TIMEDATE""}, {""start"": 85, ""end"": 100, ""label"": ""JOB""}, {""start"": 104, ""end"": 116, ""label"": ""LOCATION""}]","{""source"": ""balanced"", ""language"": ""en""}"
15,Lecturer Tim Cook wrote about Mona Lisa.,"[{""start"": 0, ""end"": 8, ""label"": ""JOB""}, {""start"": 9, ""end"": 17, ""label"": ""PERSON""}, {""start"": 30, ""end"": 39, ""label"": ""WORKOFART""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
16,Statistician Amanda Martinez joined the United Nations.,"[{""start"": 0, ""end"": 12, ""label"": ""JOB""}, {""start"": 13, ""end"": 28, ""label"": ""PERSON""}, {""start"": 36, ""end"": 54, ""label"": ""ORGANIZATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
17,Professor Carlos Mendez wrote about Star Wars.,"[{""start"": 0, ""end"": 9, ""label"": ""JOB""}, {""start"": 10, ""end"": 23, ""label"": ""PERSON""}, {""start"": 36, ""end"": 45, ""label"": ""WORKOFART""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
