unique_index,source_text,privacy_mask
0,"Nearly finished my Hollyoaks audition - waited for the perfect moment when no-one was around, then mum walks in halfway through!","[{""start"": 19, ""end"": 28, ""label"": ""WORKOFART"", ""value"": ""Hollyoaks""}]"
1,Manny Pacquiao faces Floyd Mayweather in $300m showdown on May 2 . Pac-Man has released own entrance song 'Lalaban Ako Para Sa Filipino' The 36-year-old also directed the music video ahead of Las Vegas clash .,"[{""start"": 0, ""end"": 14, ""label"": ""PERSON"", ""value"": ""Manny Pacquiao""}, {""start"": 21, ""end"": 37, ""label"": ""PERSON"", ""value"": ""Floyd Mayweather""}, {""start"": 41, ""end"": 46, ""label"": ""AMOUNT"", ""value"": ""$300m""}, {""start"": 59, ""end"": 64, ""label"": ""TIMEDATE"", ""value"": ""May 2""}, {""start"": 67, ""end"": 74, ""label"": ""PERSON"", ""value"": ""Pac-Man""}, {""start"": 107, ""end"": 135, ""label"": ""WORKOFART"", ""value"": ""Lalaban Ako Para Sa Filipino""}, {""start"": 192, ""end"": 201, ""label"": ""LOCATION"", ""value"": ""Las Vegas""}]"
2,Sure. Here's a few that might work: - Burglar's Grace: Right from Wrongdoing - Justice of Highwaymen: Kingly punishment - Vindication of Bandits: From Greed to Generosity - Pirates' Salvation: Atonement for Avarice - Rogue Liberation: Deliverance from Desire - Shadows' Amnesty: Enforced Absolution,"[{""start"": 79, ""end"": 119, ""label"": ""WORKOFART"", ""value"": ""Justice of Highwaymen: Kingly punishment""}, {""start"": 137, ""end"": 170, ""label"": ""WORKOFART"", ""value"": ""Bandits: From Greed to Generosity""}, {""start"": 173, ""end"": 214, ""label"": ""WORKOFART"", ""value"": ""Pirates' Salvation: Atonement for Avarice""}, {""start"": 217, ""end"": 258, ""label"": ""WORKOFART"", ""value"": ""Rogue Liberation: Deliverance from Desire""}, {""start"": 261, ""end"": 298, ""label"": ""WORKOFART"", ""value"": ""Shadows' Amnesty: Enforced Absolution""}]"
3,"t, folks! A diverse panel of guests sharing their wisdom on transpersonal psychology and the transformative power of self-discovery. Stay tuned for more engaging discussions and enlightening conversations on Psychology Insights . Closing music fades in Host : Thank you to all our guests for their valuable contributions today . Remember, the journey to self-discovery begins within. Until next time , take care and nurture your inner world. End of episode **End of Transcript**","[{""start"": 208, ""end"": 227, ""label"": ""WORKOFART"", ""value"": ""Psychology Insights""}, {""start"": 321, ""end"": 326, ""label"": ""TIMEDATE"", ""value"": ""today""}]"
4,"Honestly I don't leave bad reviews for places until live visited them at least 3 times and have had the same outcome. But this place left with me with no desire to come back. \n\nParking is terrible (same as Sahara) \nMonkeys.... Moneys EVERYWHERE!!! (why? Idk!) \n\nWhat's with the sculpture of \""""Flubber\"""" outside? \n\nThe people that are supposed to be taken seriously pit bosses and such are dressed in the most hideous plaid blazers, the dealers are forced to wear vests with monkeys on their back (I think there is more then a pun there) \n\nPLAIN AND SIMPLE LET ME LAY IT OUT... \n\nWho paints a sidewalk white?! /\nOver priced food/\nSmall buffet/\nCarpet looks like a graffiti artist shit on it/\nPoor color choices/ \nLoud ass humming fans outside in bar area (Dyson would be so unamused) \nThey didn't bother to paint some parts of the place /\nThe ceiling looks like a chipotle/ \n\nTake a page out of the cosmopolitans book and do it right. Sorry guys I hope it works out for you.\n\nOverall looks unfinished.","[{""start"": 208, ""end"": 214, ""label"": ""LOCATION"", ""value"": ""Sahara""}, {""start"": 299, ""end"": 306, ""label"": ""WORKOFART"", ""value"": ""Flubber""}, {""start"": 374, ""end"": 384, ""label"": ""JOB"", ""value"": ""pit bosses""}, {""start"": 445, ""end"": 452, ""label"": ""JOB"", ""value"": ""dealers""}, {""start"": 679, ""end"": 694, ""label"": ""JOB"", ""value"": ""graffiti artist""}, {""start"": 773, ""end"": 778, ""label"": ""ORGANIZATION"", ""value"": ""Dyson""}, {""start"": 883, ""end"": 891, ""label"": ""ORGANIZATION"", ""value"": ""chipotle""}, {""start"": 920, ""end"": 933, ""label"": ""ORGANIZATION"", ""value"": ""cosmopolitans""}]"
5,"I can't really say I've experienced better since this was my first time experience anything like this. I don't really remember their names, so here are my nicknames to them: MC: loud blond guy, can sing, and a bit narcissistic for someone in his field. Guitarist: great player, doesn't strip Dreads: the only guy that can dance (great job with Smooth Criminal) Blank: no expression in any act, very boring Mess Up: thinks he can dance but keeps messing up. Adam Levine: cuz he looks like Adam Levine Fabio: long blond hair The Experience Price: pretty hefty. Environment: screaming drunk/horny bachelorettes in their 20/30s. A few 40 somethings. Music: a rip of all popular songs today and the past few decades. MC sangs a few, not bad. Choreography: crap. Can't be in sync for their lives. Nudity: PG-13. Penises are censored. Overall: it seems like they are out to please and make sure everyone has a fantastic bachelorette/birthday/etc. Those that are willing to go upstage and gyrate their hips get free peeks. Tip: Check-in = free calendar!","[{""start"": 174, ""end"": 176, ""label"": ""PERSON"", ""value"": ""MC""}, {""start"": 253, ""end"": 262, ""label"": ""PERSON"", ""value"": ""Guitarist""}, {""start"": 292, ""end"": 298, ""label"": ""PERSON"", ""value"": ""Dreads""}, {""start"": 344, ""end"": 359, ""label"": ""WORKOFART"", ""value"": ""Smooth Criminal""}, {""start"": 361, ""end"": 366, ""label"": ""PERSON"", ""value"": ""Blank""}, {""start"": 406, ""end"": 413, ""label"": ""PERSON"", ""value"": ""Mess Up""}, {""start"": 457, ""end"": 468, ""label"": ""PERSON"", ""value"": ""Adam Levine""}, {""start"": 500, ""end"": 505, ""label"": ""PERSON"", ""value"": ""Fabio""}, {""start"": 680, ""end"": 685, ""label"": ""TIMEDATE"", ""value"": ""today""}, {""start"": 694, ""end"": 710, ""label"": ""TIMEDATE"", ""value"": ""past few decades""}, {""start"": 712, ""end"": 714, ""label"": ""PERSON"", ""value"": ""MC""}]"
6,"Ischaemic left ventricular failure: evidence of sustained benefit after 18 months' treatment with xamoterol. The long term effects of treatment with xamoterol in 14 patients 44-73 with mild to moderate heart failure as a result of ischaemic heart disease are reported. After 18 months' treatment with xamoterol, patients were assessed in a randomised double blind crossover comparison of xamoterol (200 mg twice a day) and placebo, each given for one month. Compared with placebo, xamoterol significantly increased exercise duration and work done on a bicycle ergometer and reduced the maximum exercise heart rate. Assessment of symptoms and activities at 12 months by visual analogue and Likert scales showed a trend towards the relief of symptoms of breathlessness and tiredness and an improvement in activity. There was an improvement in the clinical signs of heart failure and no haemodynamic deterioration over a 12 month period as assessed by ejection fraction. The improvement in exercise tolerance, symptoms, and activities was sustained for 18 months without side effects or development of tolerance.","[{""start"": 0, ""end"": 107, ""label"": ""WORKOFART"", ""value"": ""Ischaemic left ventricular failure: evidence of sustained benefit after 18 months' treatment with xamoterol""}, {""start"": 113, ""end"": 122, ""label"": ""TIMEDATE"", ""value"": ""long term""}, {""start"": 149, ""end"": 158, ""label"": ""PRODUCT"", ""value"": ""xamoterol""}, {""start"": 162, ""end"": 164, ""label"": ""AMOUNT"", ""value"": ""14""}, {""start"": 275, ""end"": 295, ""label"": ""TIMEDATE"", ""value"": ""18 months' treatment""}, {""start"": 301, ""end"": 310, ""label"": ""PRODUCT"", ""value"": ""xamoterol""}, {""start"": 388, ""end"": 397, ""label"": ""PRODUCT"", ""value"": ""xamoterol""}, {""start"": 399, ""end"": 402, ""label"": ""AMOUNT"", ""value"": ""200""}, {""start"": 406, ""end"": 417, ""label"": ""TIMEDATE"", ""value"": ""twice a day""}, {""start"": 447, ""end"": 456, ""label"": ""TIMEDATE"", ""value"": ""one month""}, {""start"": 481, ""end"": 490, ""label"": ""PRODUCT"", ""value"": ""xamoterol""}, {""start"": 656, ""end"": 665, ""label"": ""TIMEDATE"", ""value"": ""12 months""}, {""start"": 918, ""end"": 933, ""label"": ""TIMEDATE"", ""value"": ""12 month period""}, {""start"": 1050, ""end"": 1059, ""label"": ""TIMEDATE"", ""value"": ""18 months""}]"
7,"You'll never have to shovel your driveway again if you install these snow-melting mats SHARES Published 7:55 PM ET Thu, 4 Jan 2018 show chapters Updated Moments Ago | 01:14 After a week of bone-chilling temperatures across much of the United States, a massive winter storm pounded the Eastern Seaboard, forcing millions outside to shovel their driveways. Shoveling snow is not only a chore, its' also dangerous. A national study found that between 1990 and 2006 there were 11,500 snow shoveling-related injuries each year, according to the American Journal of Emergency Medicine. And while some people will be heading outside to shovel others are turning to heated driveways. The company WarmlyYours, which provides radiant heating solutions, has created snow-melting mats. The mats are designed to be installed under asphalt as a driveway is built or resurfaced. During the winter months, they heat up and melt the snow on the surface above them. After installing the snow melting system, you can choose to set it to different specifications like air temperature or moisture level on the pavement. The mats cost between $10 to $20 per square foot.","[{""start"": 42, ""end"": 47, ""label"": ""TIMEDATE"", ""value"": ""again""}, {""start"": 104, ""end"": 130, ""label"": ""TIMEDATE"", ""value"": ""7:55 PM ET Thu, 4 Jan 2018""}, {""start"": 153, ""end"": 164, ""label"": ""TIMEDATE"", ""value"": ""Moments Ago""}, {""start"": 167, ""end"": 172, ""label"": ""TIMEDATE"", ""value"": ""01:14""}, {""start"": 181, ""end"": 185, ""label"": ""TIMEDATE"", ""value"": ""week""}, {""start"": 235, ""end"": 248, ""label"": ""LOCATION"", ""value"": ""United States""}, {""start"": 285, ""end"": 301, ""label"": ""LOCATION"", ""value"": ""Eastern Seaboard""}, {""start"": 311, ""end"": 319, ""label"": ""AMOUNT"", ""value"": ""millions""}, {""start"": 448, ""end"": 461, ""label"": ""TIMEDATE"", ""value"": ""1990 and 2006""}, {""start"": 473, ""end"": 479, ""label"": ""AMOUNT"", ""value"": ""11,500""}, {""start"": 512, ""end"": 521, ""label"": ""TIMEDATE"", ""value"": ""each year""}, {""start"": 540, ""end"": 578, ""label"": ""WORKOFART"", ""value"": ""American Journal of Emergency Medicine""}, {""start"": 688, ""end"": 699, ""label"": ""ORGANIZATION"", ""value"": ""WarmlyYours""}, {""start"": 875, ""end"": 888, ""label"": ""TIMEDATE"", ""value"": ""winter months""}, {""start"": 1121, ""end"": 1124, ""label"": ""AMOUNT"", ""value"": ""$10""}, {""start"": 1128, ""end"": 1131, ""label"": ""AMOUNT"", ""value"": ""$20""}]"
8,"This is trying too hard and is way over the top. Not the worst track, but close. Grief : Tight, rolling riffs, perfect drums, in synch bass line. I tried to like the vocals, but I can't. Ryoujoku no Ame : You could get pregnant from the opening; it's that sexy. Kyo has some nice, urgent singing; and then there's a smoldering guitar interlude leading to a……mess, unfortunately. Disabled Complexes : Sex music again; I don't think DEG has had any make-out music before this CD. At 1:35 seconds in, all hell breaks loose. Kyo is being strangled, I think. Rotting Root : This is distortion done right; absolutely killer track. What a riff! All over the place but it somehow fits together. Namamekashiki Ansoku, Tamerai ni Hohoemih : How old were they here? Kyo croons with a maturity far beyond his years, and that gut wrenching wail can bring you to your knees. Die's acoustic is breathtaking while Shinya keeps the pace with some lovely shimmering cymbals and understated drum lines. This is as gorgeous as Rinkaku will be. The Pledge : Wow. Someone's heart was broken here. The lyrics are an anguished pleading for a second chance. This was another song I needed to hear a few times to appreciate. The last three songs are truly hateful , vile and anything but clever , but I think that's their point.","[{""start"": 81, ""end"": 86, ""label"": ""WORKOFART"", ""value"": ""Grief""}, {""start"": 187, ""end"": 202, ""label"": ""WORKOFART"", ""value"": ""Ryoujoku no Ame""}, {""start"": 262, ""end"": 265, ""label"": ""PERSON"", ""value"": ""Kyo""}, {""start"": 379, ""end"": 397, ""label"": ""WORKOFART"", ""value"": ""Disabled Complexes""}, {""start"": 431, ""end"": 434, ""label"": ""ORGANIZATION"", ""value"": ""DEG""}, {""start"": 481, ""end"": 493, ""label"": ""TIMEDATE"", ""value"": ""1:35 seconds""}, {""start"": 521, ""end"": 524, ""label"": ""PERSON"", ""value"": ""Kyo""}, {""start"": 554, ""end"": 566, ""label"": ""WORKOFART"", ""value"": ""Rotting Root""}, {""start"": 687, ""end"": 728, ""label"": ""WORKOFART"", ""value"": ""Namamekashiki Ansoku, Tamerai ni Hohoemih""}, {""start"": 755, ""end"": 758, ""label"": ""PERSON"", ""value"": ""Kyo""}, {""start"": 861, ""end"": 864, ""label"": ""PERSON"", ""value"": ""Die""}, {""start"": 898, ""end"": 904, ""label"": ""PERSON"", ""value"": ""Shinya""}, {""start"": 1007, ""end"": 1014, ""label"": ""WORKOFART"", ""value"": ""Rinkaku""}, {""start"": 1024, ""end"": 1034, ""label"": ""WORKOFART"", ""value"": ""The Pledge""}, {""start"": 1208, ""end"": 1213, ""label"": ""AMOUNT"", ""value"": ""three""}]"
9,"Although I was feeling great this time last week, I've felt ""out of it"" for the past couple of days. Sleep's an issue for me. I think PMO gives me a neurotransmitter cocktail that allows me to sleep less than six hours a night for days at a time and be no worse for the wear, but without that crutch I feel the effects of sleep deprivation more acutely (this has been a consistent pattern for me in past streaks). It's tough since drowsiness wreaks havoc on my willpower. Oh well. At least I don't feel like at I'm at a crisis point yet. I'm abstaining from porn as well, although I did watch Blue is the Warmest Color two nights ago (only because I was genuinely excited about the film, don't get me wrong). It's an incredible movie, really, but I feel like the gratuitous sexuality sent me back a few days mentally. Again, c'est la vie. But yeah, I wholeheartedly recommend that movie, just make sure you 're far enough along in your journey that you can see sexual imagery without it being a trigger (i.e. pretty damn far, much further than me). Otherwise steer clear, at least for now. TL;DR: Experiencing heightened sleep deprivation, Blue is the Warmest Color hurt my progress some, but for the most part I'm actually doing okay. EDIT: Oh yeah, I'm aiming for 90-120 days at least, also in NoFap War. Cardinal Regiment FTW!","[{""start"": 29, ""end"": 48, ""label"": ""AMOUNT"", ""value"": ""this time last week""}, {""start"": 80, ""end"": 99, ""label"": ""TIMEDATE"", ""value"": ""past couple of days""}, {""start"": 199, ""end"": 226, ""label"": ""TIMEDATE"", ""value"": ""less than six hours a night""}, {""start"": 231, ""end"": 245, ""label"": ""TIMEDATE"", ""value"": ""days at a time""}, {""start"": 399, ""end"": 411, ""label"": ""TIMEDATE"", ""value"": ""past streaks""}, {""start"": 533, ""end"": 536, ""label"": ""TIMEDATE"", ""value"": ""yet""}, {""start"": 593, ""end"": 618, ""label"": ""WORKOFART"", ""value"": ""Blue is the Warmest Color""}, {""start"": 619, ""end"": 633, ""label"": ""TIMEDATE"", ""value"": ""two nights ago""}, {""start"": 797, ""end"": 807, ""label"": ""TIMEDATE"", ""value"": ""a few days""}, {""start"": 1085, ""end"": 1088, ""label"": ""TIMEDATE"", ""value"": ""now""}, {""start"": 1140, ""end"": 1165, ""label"": ""WORKOFART"", ""value"": ""Blue is the Warmest Color""}, {""start"": 1266, ""end"": 1286, ""label"": ""TIMEDATE"", ""value"": ""90-120 days at least""}, {""start"": 1307, ""end"": 1324, ""label"": ""PERSON"", ""value"": ""Cardinal Regiment""}]"
